Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
11/08/2020 21:58,@mariluarvut,MARILU,"Cuando vivimos encerrados en nuestros propios intereses, nuestro equilibrio y la posibilidad de sentirnos libres se desvanece. #VotoDeConfianza #COVID19 #Vizcarra",1293381328394752007,,https://pbs.twimg.com/media/EfMDdTRWkAAivm6.jpg,,0,0,Twitter Web App,146,106,1,,23/04/2018,,El éxito es el resultado de lo que sembramos con amor. Ponerlo en práctica es abogar por un mundo mejor.,,,View
11/08/2020 21:58,@OXcarPeru,OX,Después del chongazo que les cayó y de hacer públicas las Mafias en el Congrezoo... no les quedó otra. Ahora a seguir trabajando! #VotoDeConfianza,1293381214074802177,,,,0,0,Twitter for iPhone,172,224,1,,30/12/2019,"Lima, Peru","☺️🌈 🎵🎶 NO DEBATO CON TROLLS, LOS BLOQUEO 😘 Perfiles ANÓNIMOS los ignoro. Fighter y AntiFujimorista",,,View
11/08/2020 21:56,@rennanespinoza,Rennan Espinoza,"Somos Perú ratificó su posición en el #VotoDeConfianza porque la salud de la población y la reactivación económica del país no pueden esperar más. Es hora de trabajar en consenso, sumando esfuerzos siempre en beneficio del país.",1293380718622584832,,,,2,1,Twitter for iPhone,3194,390,47,,2/07/2010,Puente Piedra,,http://renanespinoza.com,,View
11/08/2020 21:53,@mariluarvut,MARILU,"Estamos en vísperas de un nuevo nacimiento de la sociedad futura. Todo nos indica que muy pronto la humanidad entera estará sujeta a un cambio de conciencia que nos introducirá en un mundo pleno, donde la verdad, la paz y la justicia serán sus pilares #VotoDeConfianza",1293380016311590912,,,,0,0,Twitter Web App,146,106,1,,23/04/2018,,El éxito es el resultado de lo que sembramos con amor. Ponerlo en práctica es abogar por un mundo mejor.,,,View
11/08/2020 21:51,@RobertoAlvaro82,Roberto Alvaro,"Toda titular sobre el #VotoDeConfianza otorgado al gabinete debería ir más o menos así:""Congreso otorga confianza al gabinete Martos, no sin antes haber hecho el ridículo"".",1293379515473952769,,,,0,7,Twitter for Android,1534,233,1,,28/03/2010,Arequipa-Perú,"Ser humano a tiempo completo y a carta cabal. Mollendino. Marketing,gestión,opinión,poesía. Anti;anti crueldad,anti corrupción.",http://latestaponderada.blogspot.com,,View
11/08/2020 21:51,@MidisFoncodes,MIDIS Foncodes,"#VotoDeConfianza | @MidisFoncodes y @MidisQaliWarma, realizarán un trabajo coordinado 🤝 para garantizar la seguridad alimentaria, priorizando proyectos productivos 👨‍🌾👩‍🌾 que incidan en la provisión de alimentos destinados a la población escolar y así evitar la desnutrición.",1293379469143683074,,https://pbs.twimg.com/media/EfMBKr9WAAE9buf.jpg,,2,4,Twitter Web App,18951,1797,54,✅,24/04/2012,"Lima, Perú",Trabajamos en la generación de oportunidades económicas sostenibles de hogares rurales pobres extremos. #ElPerúPrimero #PrimeroMiSalud #PerúEstáEnNuestrasManos,http://www.foncodes.gob.pe/portal/,,View
11/08/2020 21:51,@PapasFritas_Mmm,Minino Misántropo,Distribución de votos del pleno del Congreso y su #VotoDeConfianza al Gabinete liderado por Walter Martos.,1293379462558515200,,https://pbs.twimg.com/media/EfMBvMlXgAI-tko.jpg,,0,2,Twitter Web App,728,4049,0,,19/11/2012,"San Martín de Porres, Perú",✍️Ingeniería Industrial - UPC 📚 Amor y Respeto por los Animales CatLover 🐱/ DogLover 🐶 Fútbol ⚽️ •Aliancista de ❤️• Dibujo ✏️ 🇵🇪¡ Arriba Perú !🇵🇪,,,View
11/08/2020 21:50,@sofiabravot,Sofía Bravo,Amé la mochila de María Antonieta Alva hoy en el congreso #VotoDeConfianza,1293379178591469568,,,,0,2,Twitter for iPhone,346,289,1,,6/06/2010,"Lima , Perú ","Comunicadora para el Desarrollo, ambientalista y creedora de un mundo mejor 🌼",,,View
11/08/2020 21:49,@maxturbio,maxturbio,#VotoDeConfianza el congreso hoy ...,1293378950790610944,,https://pbs.twimg.com/media/EfMBSDbWkAAaeAR.jpg,,0,2,Twitter Web App,0,2,0,,7/01/2019,,aventurero,,,👤
11/08/2020 21:48,@SucamecPeru,Sucamec Perú,"#ElPerúPrimero | Con 115 votos a favor, Congreso otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR RT @pcmperu: Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR, quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293378801209147392,https://twitter.com/pcmperu/status/1293377888893493248,https://pbs.twimg.com/media/EfL_utVXoAAybig.jpg,,1,4,Twitter Web App,2891,415,13,✅,1/06/2017,Peru,"Superintendencia Nacional de Control de Servicios de Seguridad, Armas, Municiones y Explosivos de Uso Civil. #PerúEstáEnNuestrasManos #PrimeroMiSalud",http://www.sucamec.gob.pe,,View
