Tweet Text,Label,Clean Tweet,Lenght,Long Number,Short Number,Punctuation,WebSite
HaHaHaHa Vladimir Putin You GO Boy @KremlinRussia_E @mod_russia @MedvedevRussiaE when is that vaccine going to be available here? @WHO @DrTedros @JustinTrudeau @realDonaldTrump @CDCgov ? RT @rianru: Французская газета поместила на обложку Путина в костюме Бонда. Вместо пистолета у него в руках шприц с российской вакциной от коронавируса,1,hahahaha vladimir putin you boy kremlinrussia mod russia medvedevrussia when that vaccin go avail here who drtedro justintrudeau realdonaldtrump cdcgov rianru,292,0,0,5.137,0
Putin’s “vaccine” must be the reason Donny has been so sure there would be one by fall ...... and why US medical experts were like ?? Huh ???? RT @stonecold2050: Putin thinks he can save the election for 💩... #BidenHarris2020,1,putin vaccin must the reason donni ha been sure there would one fall and whi medic expert were like huh stonecold putin think can save the elect for bidenharri,186,0,2,9.677,0
Most embarrassing use of The Oval Office EVER!!! Well except when he had Russian Oligarchs in there requesting privacy to get orders from Putin.,1,most embarrass use the oval offic ever well except when had russian oligarch there request privaci get order from putin,121,0,0,3.306,0
Vladimir Putin: Donald Trump vs Vladimir Putin: A vaccine manhood contest - The Economic Times,1,vladimir putin donald trump vladimir putin vaccin manhood contest the econom time,80,0,0,3.75,0
"Putin is reportedly looking to expand Russia's presence in Africa with new bases in Central African Republic, Egypt, Eritrea, Madagascar, Mozambique, and Sudan",1,putin reportedli look expand russia presenc africa with new base central african republ egypt eritrea madagascar mozambiqu and sudan,137,0,0,4.38,0
CNN and MSNBC keep it up ! Traitor trump and Putin’s GOP should never have air time to spew their kremlin propaganda RT @PalmerReport: Trump is holding a press conference right now. CNN and MSNBC aren't bothering to air it.,1,cnn and msnbc keep traitor trump and putin gop should never have air time spew their kremlin propaganda palmerreport trump hold press confer right now cnn and msnbc aren bother air,184,0,0,3.261,0
Kamala should bring Pence a gift. Like Putin gave Trump a soccer ball. She should bring a notarized framed copy of her birth certificate. Just in case that brother crap from his boss spews out from the resolute desk before Nov 3. @SenBooker @ChrisCoonsforDE Liked that Bucket 💙 RT @realmotohussy: Can’t wait! I’ll bring the popcorn! 🍿 #BidenHarris2020 #Harris2024 #VoteBidenHarris2020,1,kamala should bring penc gift like putin gave trump soccer ball she should bring notar frame copi her birth certif just case that brother crap from hi boss spew out from the resolut desk befor nov senbook chriscoonsford like that bucket realmotohussi can wait bring the popcorn bidenharri harri votebidenharri,325,0,3,4.0,0
#Putin is well aware of the essential #implications of successful #COVID19 #vaccine #development. So it's very quick to #develop. @BeckerFriedman @realDonaldTrump @KremlinRussia_E @BillGates @AbeShinzo @pfizer @Bank_of_Japan_e @BoE_Research @BIS_org @NIH @MIT @GlobalNTT @NTTPR RT @CNBC: Russia says vaccine could be in use by November and has been developed over six years,1,putin well awar the essenti implic success covid vaccin develop veri quick develop beckerfriedman realdonaldtrump kremlinrussia billgat abeshinzo pfizer bank japan boe research bi org nih mit globalntt nttpr cnbc russia say vaccin could use novemb and ha been develop over six year,324,0,0,9.259,0
"More Deficit, @realDonaldTrump is just Bankrupting the USA. Is he hoping Putin can waltz in and take over after the bankruptcy? RT @ddale8: Trump promises to ""completely"" forgive deferred payroll taxes if re-elected but also promises to fully protect Social Security by taking money from the general fund.",1,more deficit realdonaldtrump just bankrupt the usa hope putin can waltz and take over after the bankruptci ddale trump promis complet forgiv defer payrol tax elect but also promis fulli protect social secur take money from the gener fund,258,0,0,3.876,1
"Of all state employees, the police, law enforcement agencies and the like receive the highest salaries, apartments from the state and other bonuses. WHY? Putin's strategy. So they will never trample on him #russia",0,all state employe the polic law enforc agenc and the like receiv the highest salari apart from the state and other bonus whi putin strategi they will never trampl him russia,180,0,0,4.444,0
"Russia, with its negligible pharmaceutical industry ($0.56 billion export vs. $11 billion import), will mass-produce a vaccine that has been tested only on 76 people, just to save Putin's own old ass. I'm not an anti-vaxxer, but I'm sure AF anti Putin's Chernobylic murder drug.",1,russia with it neglig pharmaceut industri billion export billion import will mass produc vaccin that ha been test onli peopl just save putin own old ass not anti vaxxer but sure anti putin chernobyl murder drug,234,0,0,7.692,0
