Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 17:20,@geometryfan,Geometry Fan,Oops...and the 2 out of this 38 people are Putin’s daughters? Didn’t he say that they were already vaccinated? 😂😂😂,1293673804787593216,https://www.aerzteblatt.de/nachrichten/115504/Russland-laesst-Impfstoff-gegen-SARS-CoV-2-zu,,,0,0,Twitter for iPad,502,1981,30,,5/08/2011,here,,,,View
12/08/2020 17:20,@kz1300a4_lee,lee,Putin / tRump 2020 RT @smc429: @GOPChairwoman @GOP #BountyGateAintGoingAway,1293673783165882374,https://twitter.com/smc429/status/1293672374890426369,https://pbs.twimg.com/media/EfQMJbpU8AA7rqC.jpg,,0,0,Twitter Web App,193,329,0,,27/11/2014,"Massachusetts, USA",,,,View
12/08/2020 17:20,@PrincessBibiRF_,Bibi Spielberg,HaHaHaHa Vladimir Putin You GO Boy @KremlinRussia_E @mod_russia @MedvedevRussiaE when is that vaccine going to be available here? @WHO @DrTedros @JustinTrudeau @realDonaldTrump @CDCgov ? RT @rianru: Французская газета поместила на обложку Путина в костюме Бонда. Вместо пистолета у него в руках шприц с российской вакциной от коронавируса,1293673750408433667,"https://twitter.com/rianru/status/1293488918533410817
https://ria.ru/20200812/1575688023.html",https://pbs.twimg.com/media/EfNlTf9WsAEJqFR.jpg,,1,1,Twitter Web App,11249,12527,729,,19/10/2015,,"International Buyer with Patents, Business, Marketing, Psychology, Bachelor Of Laws Student. Writer, Seeks Justice-WorldPeace-StopWars-HumanRights. Profiler.",,,View
12/08/2020 17:20,@assouu___,ratpi,"ohhhhhhhh putin RT @Samsinho_: Notre voiture a brulé mais al Hamdoulilah, on a pu prendre une photo",1293673745148764160,https://twitter.com/samsinho_/status/1293654920135159808,https://pbs.twimg.com/media/EfP8Sl8XkAEyorw.jpg,,0,0,Twitter for iPhone,465,414,0,,6/11/2019,"Val-d'Oise, Ile-de-France",Je sais qui sont les fakes.21 yr🎂,,,View
12/08/2020 17:20,@AnthonyAggie17,Ant,Not today Putin.,1293673669236002819,,https://pbs.twimg.com/media/EfQNIExXkAE_3CC.jpg,,0,0,Twitter for Android,240,319,1,,28/06/2011,Colorado Springs,FTA Class of 2017 | Army Engineer | Married up to @brookemmckeee | SLTW | he/him | Views are my own,,,View
12/08/2020 17:19,@CoastalCndn,Cricket,Putin’s “vaccine” must be the reason Donny has been so sure there would be one by fall ...... and why US medical experts were like ?? Huh ???? RT @stonecold2050: Putin thinks he can save the election for 💩... #BidenHarris2020,1293673516512899072,https://twitter.com/stonecold2050/status/1293668807492345856,https://pbs.twimg.com/media/EfQI7B8UMAAUPiP.jpg,,0,0,Twitter Web App,3373,4328,9,,12/06/2011,,Atheist 🇨🇦 #AdoptDontShop I was a much nicer person 5 years ago -before weak men started voting in perceived “strong men” to f up this 🌎,,,View
12/08/2020 17:19,@surge4earth,Surge4Earth,Most embarrassing use of The Oval Office EVER!!! Well except when he had Russian Oligarchs in there requesting privacy to get orders from Putin.,1293673491737313281,,https://pbs.twimg.com/media/EfQNLzNXsAMwf5W.jpg,,0,0,Twitter for Android,418,368,9,,8/09/2017,"Maryland, USA","⚡4 🌎 Major tree hugger🌳, nonliberal democrat, Dad of 4, 🇺🇸 fear for our democracy!🤔 You'll know where it is when you find it.",http://https.www.facebook.com/surgeforearth,,View
12/08/2020 17:19,@lynsnyds1,lynsnyds,For @realDonaldTrump : Russia. Putin. Bounties. Troops. Silent. #BountyGateAintGoingAway RT @votevets: 47 days since reports of Russian bounties on our troops. 47 days where Trump has proven his loyalty to Putin over American lives. 83 days until the election. #TraitorTrump #vote,1293673475962548234,https://twitter.com/votevets/status/1293601057059241984,,,0,0,Twitter for iPhone,69,201,0,,26/11/2017,"Macon, GA","Retired nurse, veteran, wife, mother and Grandmother. Member of Georgia Women (and Those Who Stand With Us). Avid activist",,,View
12/08/2020 17:19,@Midge150,12vwoman150,Vladimir Putin: Donald Trump vs Vladimir Putin: A vaccine manhood contest - The Economic Times,1293673431657902080,https://m.economictimes.com/news/international/world-news/donald-trump-vs-vladimir-putin-a-vaccine-manhood-contest/articleshow/77497291.cms,,,0,0,Twitter for iPhone,1494,4475,3,,16/11/2008,"Los Angeles, CA",Fabulous! From Ireland 🇮🇪 American Citizen 🇺🇸 #TrumpMustGo #Resistance #MeToo #FBR,,,View
12/08/2020 17:19,@the_sailor_dog,Bob Hein,"Putin is reportedly looking to expand Russia's presence in Africa with new bases in Central African Republic, Egypt, Eritrea, Madagascar, Mozambique, and Sudan",1293673417690898432,https://www.businessinsider.com/russia-reportedly-signs-deals-allowing-bases-in-6-african-countries-2020-8?utmSource=twitter&utmContent=referral&utmTerm=topbar&referrer=twitter,,,0,0,Twitter Web App,2333,877,65,,11/11/2013,"Honolulu, HI","Naval Strategist, I embrace the maritime domain, MilWritersGuild, Host 'The Smell of Victory' podcast, fmr @Brookings, CAPT USN (Ret)",https://divergentoptions.org/category/the-smell-of-victory-podcast-by-divergent-options/,,View
12/08/2020 17:19,@debjanise,deb janise,CNN and MSNBC keep it up ! Traitor trump and Putin’s GOP should never have air time to spew their kremlin propaganda RT @PalmerReport: Trump is holding a press conference right now. CNN and MSNBC aren't bothering to air it.,1293673371566317570,https://twitter.com/palmerreport/status/1293669158228504588,,,0,0,Twitter for iPhone,422,790,1,,1/06/2012,,,,,👤
12/08/2020 17:18,@EmmanGuevara,Emman,"Putin C RT @jaredlacaran: putin: *announces covid-19 vaccine* duterte: putin, my friend! xi jinping: *sinuntok ang pader*",1293673356525355009,https://twitter.com/jaredlacaran/status/1293469636499877888,,,0,0,Twitter for Android,228,201,0,,23/01/2016,Sanctuary,🌊 | 🍍 | 🌴 | 🍇 | ☁ | 🍯 | 🎯,,,View
12/08/2020 17:18,@DUNROVIN15,DUNROVIN,Kamala should bring Pence a gift. Like Putin gave Trump a soccer ball. She should bring a notarized framed copy of her birth certificate. Just in case that brother crap from his boss spews out from the resolute desk before Nov 3. @SenBooker @ChrisCoonsforDE Liked that Bucket 💙 RT @realmotohussy: Can’t wait! I’ll bring the popcorn! 🍿 #BidenHarris2020 #Harris2024 #VoteBidenHarris2020,1293673347042222081,https://twitter.com/realmotohussy/status/1293662680453021697,https://pbs.twimg.com/media/EfQDWg6UMAEd1Y-.jpg,,0,0,Twitter for iPhone,723,2300,1,,7/01/2020,,McConnell is complicit in crimes of Trump/Pence cover up and hidden evidence. McConnell does not want Trump voters to know the truth.,,,👤
12/08/2020 17:18,@high_level_rd,MINKOWSKI SPACETIME RESEARCH INTERNATIONAL,#Putin is well aware of the essential #implications of successful #COVID19 #vaccine #development. So it's very quick to #develop. @BeckerFriedman @realDonaldTrump @KremlinRussia_E @BillGates @AbeShinzo @pfizer @Bank_of_Japan_e @BoE_Research @BIS_org @NIH @MIT @GlobalNTT @NTTPR RT @CNBC: Russia says vaccine could be in use by November and has been developed over six years,1293673282428784641,"https://twitter.com/CNBC/status/1293526261013385217
https://cnb.cx/2XWOPx0",,,0,0,Twitter for Android,26,528,0,,9/12/2016,MINKOWSKI SPACETIME,"International relations, Economic management, Theoretical Science, Information Science, etc. | High-Level Laboratory",https://high-level-rd-lab.blogspot.com/,,View
12/08/2020 17:18,@jaam91,jaam91,"More Deficit, @realDonaldTrump is just Bankrupting the USA. Is he hoping Putin can waltz in and take over after the bankruptcy? RT @ddale8: Trump promises to ""completely"" forgive deferred payroll taxes if re-elected but also promises to fully protect Social Security by taking money from the general fund.",1293673247633035267,https://twitter.com/ddale8/status/1293671983809527810,,,0,0,Twitter Web App,384,209,3,,18/07/2009,,Trump is killing America Greed or Russia is behind everything Trump does #PresidenBiden #Trumptraitor #Trea45on,,,View
12/08/2020 17:18,@EvgePinsel,EvgePinsel,"Of all state employees, the police, law enforcement agencies and the like receive the highest salaries, apartments from the state and other bonuses. WHY? Putin's strategy. So they will never trample on him #russia",1293673179504877570,,,,0,0,Twitter for iPhone,14,58,0,,30/07/2017,,❀W I L L H E L P Y O U TO F E E L A M A Z I N G❀ ✿Flexibility Coach ✿Pole Sport Athlete ✿Architect,,,View
12/08/2020 17:18,@jamiedlux,Jamie Dlux 🛸💨,Tootin Putin? I ain’t ever heard of him before?,1293673162845179922,,,,0,0,Twitter for iPhone,10382,1102,33,,23/01/2014,"Myrtle Beach, SC","Author, Musician, Photographer, Graphic Designer, Published Poet, (Poetry’s Not Dead) Youtube Creator & Live Streamer (Pronouns-Fuck Face/Asshole/Shithead)",http://www.youtube.com/jamiedlux,,View
12/08/2020 17:18,@DrHueyLi,Huey Li,"Russia, with its negligible pharmaceutical industry ($0.56 billion export vs. $11 billion import), will mass-produce a vaccine that has been tested only on 76 people, just to save Putin's own old ass. I'm not an anti-vaxxer, but I'm sure AF anti Putin's Chernobylic murder drug.",1293673159124643840,,https://pbs.twimg.com/media/EfQMrVcUcAAv8aG.jpg,,0,1,Twitter Web App,4021,772,15,,10/11/2016,"California, USA",Ph.D. in poli-sci / Dividing the Rulers (@UofMPress. http://press.umich.edu/11300715) / Standup comedian / Vlog on Instagram (@drhueyli).,http://youtube.com/drlisangrycomedy,,View
12/08/2020 17:18,@DefeatColoRep,Defeat Colo Republicans,"The “Russian Right” moves to support Putin @senatemajldr @LindseyGrahamSC @SenRonJohnson @SenCoryGardner @GOP @Jim_Jordan @Liz_Cheney RT @ImpeachmentHour: So Trump says the US will buy 100,000,000 doses of an untested, unproven Russian Covid vaccine! Anybody see this coming?",1293673135817072642,https://twitter.com/impeachmenthour/status/1293579353826172928,,,0,0,Twitter for iPhone,1573,1898,1,,24/01/2018,,Working to defeat Republicans in Colorado,https://www.facebook.com/DefeatCORepublicans/?view_public_for=1302342809852575,,View
12/08/2020 17:17,@Bollocksworth,Boswald Bollocksworth,Probably they made a deal with Putin that they'd have Pompeo say this and then it would drive the Belarussians to Big Russia. RT @nypost: Secretary of State Mike Pompeo vows to deliver 'freedom' in Belarus,1293673045622652928,"https://twitter.com/nypost/status/1293583686466785281
https://trib.al/whX7MWW",https://pbs.twimg.com/media/EfO7gciWkAMmSi3.jpg,,1,0,Twitter Web App,434,312,2,,24/11/2019,,,,,View
12/08/2020 17:17,@pohamila,Mila,"Putin: US Presidents Are Not Very Powerful, 'Men in Dark Suits' Rule Washington  via @YouTube",1293672866379177988,https://youtu.be/xykvrGpCW6E,,,0,0,Twitter for Android,40,55,0,,16/11/2019,Brasil,,,,View
12/08/2020 17:17,@VeroArtistBlue,Democracy above all.....,So who’s buying #Putin fake vaccine? He kills people..... RT @maddow: BBC: Security forces now shooting at protesters with live rounds in Belarus,1293672864416137219,"https://twitter.com/maddow/status/1293593549485858823
https://www.bbc.com/news/world-europe-53748748",,,0,1,Twitter for iPad,357,1574,0,,1/10/2013,,,,,View
12/08/2020 17:16,@Solarman1955,ObviousMan,Trump will try to handle her Putin style. Everyone stay safe!! RT @HoarseWisperer: Kamala Harris laying out a scorching prosecution of Trump’s mishandling of the COVID crisis. Trump cannot handle direct confrontation by strong women. He is in for a long three months.,1293672818962464775,https://twitter.com/hoarsewisperer/status/1293659763910365185,,,0,0,Twitter for iPhone,1940,2122,5,,16/06/2017,United States,"It's obvious to a casual observer. I state it as people tend to miss the obvious. Like they're being all reasonable, therefore refusing to see the brutal truth.",,,View
12/08/2020 17:16,@sanjayp78413705,sanjay pandey,"India also has vaccine against covid-19, but like Putin, Modi doesn't have a daughter for the fast trial.",1293672770786799616,,,,0,0,Twitter for iPhone,1,12,0,,25/04/2020,,Enjoy,,,View
