,Twitter Query: #VotoDeConfianza lang:es -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 23:50,@Yeshuahqh,JRigo Quispe H,Es bien MEDIOCRE E IGNORANTE que este otro peón de @CesarAcunaP #FernandoMelendez...dice en @noticias_tvperu q le han dado un #VotodeConfianza a #Martos es un #ChequeenBlanco...y amenaza q si @MartinVizcarraC no hace lo q quiere este #Congreso2020 seguirán en su obstrucción,1293771907389587457,,,,0,0,Twitter for Android,469,1108,4,,29/03/2010,Lima-Perú,"Profesional en TI, enemigo de las injusticias y abusos...humilde desde mis raices..con valores y etica profesional...y vivo de mi trabajo honrado, Amo mi Perú.",,,View
12/08/2020 20:15,@MiguelA33585374,Miguel Angel Almeida,"#Elecciones2021Ec necesitamos administradores NO SALVADORES, #noolvidamos #politicos #AsambleaNacional corruptos antes y más en tiempos de #COVID19 tu #VotoDeConfianza hará la diferencia #EcuadorSinCorrupcion el cambio empieza desde nosotros.",1293717708614316034,,https://pbs.twimg.com/media/EfQ1ZmzXgAI2S73.jpg,,0,1,Twitter for Android,0,7,0,,2/08/2020,,"Lo normal, aunque esa apreciación depende de que tan normal sea de acuerdo a su medida.",,,View
12/08/2020 18:42,@ElioRodrguez15,Elio Rodríguez,"Más que un #VotoDeConfianza, el Perú necesita gente que conozca la realidad del día a día del peruano.",1293694269153312774,,,,0,0,Twitter Web App,4,81,0,,13/07/2020,,Estudio ingeniería industrial en la Pontificia Universidad Católica del Perú y soy actor en formación en la Escuela Nacional Superior de Arte Dramático,,,View
12/08/2020 18:04,@AGATHALYS,Agatha Lys,"Como lo adelantamos en video PBO Digital , Sí le dieron el #votodeconfianza al #PremierMartos .. “los Astros si estaban propicios” como lo dijimos . Recordando que #WalterMartos es nativo de Escorpio . Súper trabajador , pragmático y especialista en resolver problemas.",1293684835765149696,,https://pbs.twimg.com/media/EfQXf-tWAAAf3Xh.jpg,,0,1,Twitter for iPhone,14122,3499,41,,8/04/2010,Lima - Peru,"Vidente, Tarotista, Psicóloga, Sanadora Holística, Coach Life, Facilitadora de Talleres de Louise Hay, Periodista y Metafísica. Defensora de La Mujer. Marca 🔔",,,View
12/08/2020 17:04,@leivasport,Miguel Ángel Leiva,"Triste ver que ni Premier Martos, ni ningún Congresista o Bancada defiendan respeto a derechos y libertades individuales de ciudadanos. Más triste pensar que, nosotros tenemos el poder y elegimos prisión y no libertad. #VotoDeConfianza #WalterMartos #cuarentena @CARLOSMESIA",1293669664158097408,,,,0,0,Twitter for Android,485,1676,2,,12/06/2013,Lima - São Paulo,Legal & Sport Consulting Fútbol reflejo de Sociedad...,,,View
12/08/2020 15:26,@MarioEdgarRios,Mario Ríos,"¿Qué pasa con el #Gobierno? ¿Hasta cuándo seguiremos perdiendo familiares y amigos por falta de #oxígeno? ¡INTERVENCIÓN DEL ESTADO, URGENTE! El #VotoDeConfianza será en vano si no se gobierna al país de verdad.",1293645133540360194,https://bit.ly/2Fk6tnR,,,1,2,Twitter Web App,89,41,0,,30/06/2013,,Ser del mejor equipo del Perú,,,View
12/08/2020 15:07,@MonicaEagles,Mónica Sánchez,"Despues de haberse otorgado el #VotoDeConfianza al PCM, Confiamos en que ahora de piroridad al sector Salud para salir lo mas pronto de esta pandemia, que cumpla lo que ha pometido por el bien de nuestro país!! Si dice amar a nuestro pais, es hora de demostrarlo con hechos!!",1293640374041423873,,,,0,0,Twitter for Android,123,337,1,,5/01/2013,"Lima, Perú","Mujer Líder, Trabajadora, Luchadora, Abogada.Esposa y Madre de Familia.",,,View
12/08/2020 14:08,@jaimeasian,Jaime Asián,Conclusión luego del mensaje de Vizcarra: JUSTOS PAGAN POR PECADORES. #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena #DomingoGuardados #Domingos,1293625423058870276,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:56,@jaimeasian,Jaime Asián,"Vizcarra: ""El domingo (pese a la inmovilización) sí se va a permitir el delivery"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293622449154789376,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:53,@jaimeasian,Jaime Asián,"Premier Martos también agradece al Congreso por el voto de confianza a su gabinete. ""No se puede amar a lo que no se conoce"". Romanticón el general. #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293621527003504640,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:50,@jaimeasian,Jaime Asián,"Vizcarra: ""Hablar de vacuna es hablar de los primeros meses de 2021"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena #vacuna",1293620920016343043,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:49,@HallaziLuis,Luis Hallazi,"#VotoDeConfianza A dado confianza a Vizcarra, retoma el timón de lucha contra pandemia y ante incremento de contagio y muertes (200x día) volvemos a la #cuarentena obligatoria, sólo domingos en todo 🇵🇪.",1293620517291925507,,,,0,1,Twitter for Android,938,966,2,,12/10/2017,,"Abogado y politólogo, investigador en derechos humanos.",,,View
12/08/2020 13:48,@jaimeasian,Jaime Asián,"Vizcarra: ""Esto es una guerra con un enemigo invisible: Covid-19, y todos somos soldados. El éxito de este combate está en la responsabilidad de todos los peruanos"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293620382151380992,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
