Screen Name;Full Name
@geometryfan;Geometry Fan
@kz1300a4_lee;lee
@PrincessBibiRF_;Bibi Spielberg
@assouu___;ratpi
@AnthonyAggie17;Ant
@CoastalCndn;Cricket
@surge4earth;Surge4Earth
@lynsnyds1;lynsnyds
@Midge150;12vwoman150
@the_sailor_dog;Bob Hein
@debjanise;deb janise
@EmmanGuevara;Emman
@DUNROVIN15;DUNROVIN
@high_level_rd;MINKOWSKI SPACETIME RESEARCH INTERNATIONAL
@jaam91;jaam91
@EvgePinsel;EvgePinsel
@jamiedlux;Jamie Dlux 🛸💨
@DrHueyLi;Huey Li
@DefeatColoRep;Defeat Colo Republicans
@Bollocksworth;Boswald Bollocksworth
@pohamila;Mila
@VeroArtistBlue;Democracy above all.....
@Solarman1955;ObviousMan
@sanjayp78413705;sanjay pandey
@Sam_Schulman;Sam Schulman كافر| ن
@mimilu;JoanONo! Mask Up
@PaulDray;paul Dray
@Frass2u;🇺🇸🌊SASSY FRASS 🌊🇺🇸
@boomer55u;Barry Alverson
@mrsoumen41996;Soumen Mukherjee
@doodlebug4845;Edray
@FrankJa55485824;Frank James
@FranSparks18;Fran Sparks
@swann2001;Swannsback
@carrmarie70;christine carrick
@AlvinTheHipMonk;Alvin The Hip Monk
@Herbwells7;Herbwells
@ultimate1us;DENSMORE
@raspootang;Grigori Rasputin
@itutoresl;MakeMeSmile
@WeAreChangeNYC;WeAreChange NYC
@Tao23;S.A. Barton is thinking about it
@stefanoshow;SPX
@msohadi;Michael Ohadi
@EddieFeldmann;Eddie Feldmann
@BlomstromRobert;Robert Blomstrom
@ProjectLincolnn;The Lincoln Project (parody)
@baryo_j;william j baryo
@iVoteAmerica;iVoteAmerica®
@IamJWilliams95;Rest In Power Micahel Brooks
@LALALandLeafFan;GLG
@MichaelFrankie6;Lanoka Lanikai
@StarryGirl99654;Eileen Mann
@FabulousThomasJ;Tom Kidd
@sankuperis;Saulė
@autarchofTexas;your mom
@WillsLyn;Lyn Wills
@AlEastmond;Al Eastmond
@Kemp4Democracy;Gayle Kemp
@PinkSheepNews;Jhawn Paul
@mooneye13_the;The dawn-breaker
@nigel_revell;Nigel Revell
@LizardGirl0;Lizard🇧🇾🍞📈
@Brandon20105199;Brandon K
@PeggyAbrahamson;Peggy Abrahamson
@TheScottLove;R. Scott Love
@carman17838926;carman
@ssguffey;sheri higgins
@bobcarr58684439;bob carroll
@Boognish12;Crash
@RomanaVolny;🇨🇿🇨🇦 ROMANA♀️who loves 🇷🇺PUTIN/🇺🇸TRUMP2020
@Lemieux1150Jane;⚖️ Steel City Cat Lady
@Robertamnesia;Rob Schneider
@thetruthtoliar1;Karen Hardison
@mommacorner;momma corner
@RadioFlyer1101;LittleRedWagon
@Sheryl23373427;Sheryl
@Bizypawz;Sara Sturz
@MacGregorGarlic;MacGregorGarlic
@EveCanadienne;CanadienneEve🇨🇦🇨🇦@Lunastella
@TomVMorris;Tom Morris
@iamtogtogiam;Tog #TheResistance #VoteBlue #BLM #GoodTrouble
@JilWaters;Jil Waters
@sheron_spikes;Sheron Spikes
@BobRmhenry1;C'MON MAN! YOU KNOW! THE THING!🇺🇸
@LvCa2;Kathy
@fesi_df;Dominic Fesi.df
@kmoliscollier;Kate
@Dogmommaz3;Nancy Stinson
@Raytown_12;an American Wookiee in Washington
@WendyCreates;Wendy Jones
@JamesCharlesWa7;James Charles Warren Deloach Jr
@rnadna2;JC
@mattfier;Matthew Fier
@Klayoven;((( H K S )))
@cov_19worldstat;Covid-19Worldstats
@sauconykid;Makeda
@RangerLeRoyAda1;Ranger Le'Roy Adams
@pkacee;Paa Kwesi
@saltMariaa;Maria🐚
@MillerOval;Oval Miller
@tlumaczEN;Johnny Shnosnas
@CildaShaur;Cilda Shaur
@imaldridge;ISAIAH ALDRIDGE
@Dusklikethunder;(((Eric)))
@phil_marlo;Carl Fidelio II ΩΩ
@RealPaulLewis;PL
@andendall;Patrick M Andendall
@NEWS9;News 9
@YvanL13;Uhthred son of Uhthred
@hardworkusa;Lynn
@rhoar_baitch;Remember John Lewis, outvote Conald T. Rump
@JohnsonRussiaLi;Johnsons Russia List
@LisbethS34;Carmen with C
@MichaelNapoli7;Michael Napoli
@Tony98Tony;Tony Whitsett
@Infantry0300;Private Joker, USMC
@cedalimun;eva
@Tonto250;TK the soundman
@deerhyde;Remington
@RhapsodysBIues;Wicked Big RU Mob Thug In The WH Blues 👎⚖️✨🇺🇸
@esneet4113;ESNEET ⛵️
@AllBrPolitics;All The Brazilian Politics
@mgcanmore;Mike Gilchrist
@SSestanovich;Stephen Sestanovich
@BotEkaf;SWEN EKAF Bot
@NofrontRunnersx;Eric Robles
@myVOpower;myVOICEOVERpower
@CSBlenner;C.S. Blennerhassett
@teare_j;J B Teare
@just_dawning;just dawn
@BostonDivine;The Divine Boston Cream🍩☕️🌊
@patmathewsriden;patriciaridenour
@Dyclo_Mvp;Seiko_jazz_mvp 🇭🇹
@ccs_rshb;#TRUMP is a DANGER to DEMOCRACY! 🚫☢
@Krisehandtering;Gunnar Angeltveit
@ncappraiser30;Tony Morton
@Tru2KO;Tru2KO, Sick to Death of GOP - Vote Joe Biden 2020
@rainerickson;Rain
@hankgiovano;Ronny long
@davidmweissman;David Weissman
@RandomNews5;Random News
@effiedog;Jesse Elin B.
@WeAreMel;MEL Magazine
@littelbabyy;Nwa Baby 🇲🇷😼
@SandyBurrell7;Sandy Burrell
@aheffne;#New Party Needed
@Christ_Will_Iam;The Word of God
@Trnrjss4;Jes E. Turn
@JimTrotter7;J Rock
@PeggyKraft1;Peggy Kraft
@TheEmporer3;The Emporer
@CicerosLogic;CicerosLogic
@Terrenc91011033;Terrence
@AllAroundMBrown;Michael🌊🌈
@OnlyWhiteTiger;Carm Derrico
@j_officerandrew;Me
@SEMPERFISGT;Terry Chero
