Screen Name;Followers;Follows;User Since;Location.1;Bio
@geometryfan;502;1981;5/08/2011;here;
@kz1300a4_lee;193;329;27/11/2014;Massachusetts, USA;
@PrincessBibiRF_;11249;12527;19/10/2015;;International Buyer with Patents, Business, Marketing, Psychology, Bachelor Of Laws Student. Writer, Seeks Justice-WorldPeace-StopWars-HumanRights. Profiler.
@assouu___;465;414;6/11/2019;Val-d'Oise, Ile-de-France;Je sais qui sont les fakes.21 yr🎂
@AnthonyAggie17;240;319;28/06/2011;Colorado Springs;FTA Class of 2017 | Army Engineer | Married up to @brookemmckeee | SLTW | he/him | Views are my own
@CoastalCndn;3373;4328;12/06/2011;;Atheist 🇨🇦 #AdoptDontShop I was a much nicer person 5 years ago -before weak men started voting in perceived “strong men” to f up this 🌎
@surge4earth;418;368;8/09/2017;Maryland, USA;⚡4 🌎 Major tree hugger🌳, nonliberal democrat, Dad of 4, 🇺🇸 fear for our democracy!🤔 You'll know where it is when you find it.
@lynsnyds1;69;201;26/11/2017;Macon, GA;Retired nurse, veteran, wife, mother and Grandmother. Member of Georgia Women (and Those Who Stand With Us). Avid activist
@Midge150;1494;4475;16/11/2008;Los Angeles, CA;Fabulous! From Ireland 🇮🇪 American Citizen 🇺🇸 #TrumpMustGo #Resistance #MeToo #FBR
@the_sailor_dog;2333;877;11/11/2013;Honolulu, HI;Naval Strategist, I embrace the maritime domain, MilWritersGuild, Host 'The Smell of Victory' podcast, fmr @Brookings, CAPT USN (Ret)
@debjanise;422;790;1/06/2012;;
@EmmanGuevara;228;201;23/01/2016;Sanctuary;🌊 | 🍍 | 🌴 | 🍇 | ☁ | 🍯 | 🎯
@DUNROVIN15;723;2300;7/01/2020;;McConnell is complicit in crimes of Trump/Pence cover up and hidden evidence. McConnell does not want Trump voters to know the truth.
@high_level_rd;26;528;9/12/2016;MINKOWSKI SPACETIME;International relations, Economic management, Theoretical Science, Information Science, etc. | High-Level Laboratory
@jaam91;384;209;18/07/2009;;Trump is killing America Greed or Russia is behind everything Trump does #PresidenBiden #Trumptraitor #Trea45on
@EvgePinsel;14;58;30/07/2017;;❀W I L L H E L P Y O U TO F E E L A M A Z I N G❀ ✿Flexibility Coach ✿Pole Sport Athlete ✿Architect
@jamiedlux;10382;1102;23/01/2014;Myrtle Beach, SC;Author, Musician, Photographer, Graphic Designer, Published Poet, (Poetry’s Not Dead) Youtube Creator & Live Streamer (Pronouns-Fuck Face/Asshole/Shithead)
@DrHueyLi;4021;772;10/11/2016;California, USA;Ph.D. in poli-sci / Dividing the Rulers (@UofMPress. http://press.umich.edu/11300715) / Standup comedian / Vlog on Instagram (@drhueyli).
@DefeatColoRep;1573;1898;24/01/2018;;Working to defeat Republicans in Colorado
@Bollocksworth;434;312;24/11/2019;;
@pohamila;40;55;16/11/2019;Brasil;
@VeroArtistBlue;357;1574;1/10/2013;;
@Solarman1955;1940;2122;16/06/2017;United States;It's obvious to a casual observer. I state it as people tend to miss the obvious. Like they're being all reasonable, therefore refusing to see the brutal truth.
@sanjayp78413705;1;12;25/04/2020;;Enjoy
